score	style_tags	link_tags	inline_style	template_blocks	file
6	1	0	5	1	js/assinatura-gerenciamento.js
4	0	1	3	0	js/layout-core.js
3	0	0	3	0	js/admin-funnel.js
2	2	0	0	2	js/mobile-more-swipe.js
2	1	1	0	1	js/treino-aluno-retorno.js
2	1	0	1	2	js/renovacao-plano.js
2	0	2	0	0	js/mobile-experience.js
2	0	2	0	0	js/admin-tabs.js
2	0	1	1	0	js/aula-aluno.js
2	0	0	2	4	js/admin.js
2	0	0	2	3	js/aluno-financeiro.js
2	0	0	2	0	js/aluno-sessao-controles.js
1	1	0	0	3	js/treino-exercise-picker-sheet.js
1	1	0	0	3	js/biblioteca-treinos-multiselect.js
1	1	0	0	3	js/aulas-painel-quick-actions.js
1	1	0	0	3	js/aulas-painel-delete-controls.js
1	1	0	0	2	js/treino-dia-personalizacao.js
1	1	0	0	2	js/biblioteca-refeicoes-enhancements.js
1	1	0	0	2	js/aulas-painel-exercise-controls.js
1	1	0	0	1	js/treino-sticky-exercise-save.js
1	1	0	0	1	js/treino-plan-day-tabs.js
1	1	0	0	1	js/treino-plan-day-tabs-stable.js
1	1	0	0	1	js/treino-multidias.js
1	1	0	0	1	js/treino-modelo-livre.js
1	1	0	0	1	js/treino-busca-exercicios.js
1	1	0	0	1	js/student-workflow-improvements.js
1	1	0	0	1	js/student-avatars-personal.js
1	1	0	0	1	js/push-personal.js
1	1	0	0	1	js/portal-aluno-tabs.js
1	1	0	0	1	js/painel-plano-free-ui.js
1	1	0	0	1	js/painel-compact-enhancements.js
1	1	0	0	1	js/painel-agenda-modal.js
1	1	0	0	1	js/painel-agenda-modal-avatar.js
1	1	0	0	1	js/iniciar-treino-personal.js
1	1	0	0	1	js/ficha-treinos-salvos.js
1	1	0	0	1	js/exercicio-drag-order.js
1	1	0	0	1	js/biblioteca-treinos-layout.js
1	1	0	0	1	js/aulas-painel-exercise-categories.js
1	1	0	0	1	js/aulas-painel-editor.js
1	1	0	0	1	js/aulas-painel-delete-layout-fix.js
1	1	0	0	1	js/assinatura-experiencia.js
1	1	0	0	1	js/aluno-push-onboarding.js
1	1	0	0	1	js/admin-cron-monitor.js
1	1	0	0	0	js/treino-aluno-empty-state-guard.js
1	0	1	0	2	js/treino-aluno-semanal.js
1	0	1	0	1	js/treino-aluno-simplificado.js
1	0	1	0	1	js/ficha-aluno-hierarquia.js
1	0	1	0	0	js/treino-exercicio-categorias.js
1	0	1	0	0	js/treino-aluno-exercicios-avulsos.js
1	0	1	0	0	js/mobile-experience-fixes.js
1	0	1	0	0	js/landing-ads.js
1	0	0	1	4	js/financeiro.js
1	0	0	1	1	js/visualizar-aluno.js
1	0	0	1	1	js/historico-treinos-aluno.js
1	0	0	1	1	js/aluno.js
1	0	0	1	1	js/admin-contatos.js
1	0	0	1	0	js/painel.js
1	0	0	1	0	js/painel-resumo-geral.js
1	0	0	1	0	js/image-cropper.js
1	0	0	1	0	js/aulas-painel.js
